category,intent,text,cleaned_text
software_issue,cannot_login,I can't log in,i can't log in
software_issue,cannot_login,My password isn't working,my password isn't working
software_issue,cannot_login,I'm locked out of my account,i'm locked out of my account
software_issue,cannot_login,It says my credentials are invalid,it says my credentials are invalid
software_issue,cannot_login,I forgot my password,i forgot my password
software_issue,cannot_login,My login isn't being accepted,my login isn't being accepted
software_issue,cannot_login,The system won't let me in,the system won't let me in
software_issue,cannot_login,I keep getting an 'access denied' message,i keep getting an 'access denied' message
software_issue,cannot_login,I need a password reset,i need a password reset
software_issue,cannot_login,It says my account is disabled,it says my account is disabled
software_issue,cannot_login,I'm stuck on the login screen,i'm stuck on the login screen
software_issue,cannot_login,My two-factor authentication isn't working,my two-factor authentication isn't working
software_issue,cannot_login,I get a 'wrong username or password' error,i get a 'wrong username or password' error
software_issue,cannot_login,I changed my password and now it doesn't work,i changed my password and now it doesn't work
software_issue,cannot_login,The login page just keeps refreshing,the login page just keeps refreshing
software_issue,application_crash,The program keeps crashing,the program keeps crashing
software_issue,application_crash,My software keeps closing unexpectedly,my software keeps closing unexpectedly
software_issue,application_crash,I keep getting an error message and then it closes,i keep getting an error message and then it closes
software_issue,application_crash,It freezes and I have to force quit,it freezes and i have to force quit
software_issue,application_crash,The application is not responding,the application is not responding
software_issue,application_crash,It just shuts down randomly while I'm working,it just shuts down randomly while i'm working
software_issue,application_crash,I get a pop-up that says [Application] has stopped working,i get a pop-up that says application has stopped working
software_issue,application_crash,My screen goes grey and I have to restart the program,my screen goes grey and i have to restart the program
software_issue,application_crash,It hangs every time I try to open a specific file,it hangs every time i try to open a specific file
software_issue,application_crash,I click on it and nothing happens,i click on it and nothing happens
software_issue,application_crash,It was working fine and then it just closed,it was working fine and then it just closed
software_issue,application_crash,I get a fatal error and the program quits,i get a fatal error and the program quits
software_issue,application_crash,It freezes my whole computer for a minute,it freezes my whole computer for a minute
software_issue,application_crash,The application keeps crashing on startup,the application keeps crashing on startup
software_issue,application_crash,It's become totally unresponsive,it's become totally unresponsive
software_issue,slow_performance ,My computer is really slow,my computer is really slow
software_issue,slow_performance ,Everything is lagging,everything is lagging
software_issue,slow_performance ,It takes forever to open programs,it takes forever to open programs
software_issue,slow_performance ,The mouse and keyboard are delayed,the mouse and keyboard are delayed
software_issue,slow_performance ,My applications are freezing for a few seconds,my applications are freezing for a few seconds
software_issue,slow_performance ,It's taking a long time to start up,it's taking a long time to start up
software_issue,slow_performance ,The fan is really loud and it's running slow,the fan is really loud and it's running slow
software_issue,slow_performance ,I click on things and nothing happens right away,i click on things and nothing happens right away
software_issue,slow_performance ,Web pages are loading very slowly,web pages are loading very slowly
software_issue,slow_performance ,It feels like my computer is crawling,it feels like my computer is crawling
software_issue,slow_performance ,Files take forever to save or open,files take forever to save or open
software_issue,slow_performance ,There's a spinning wheel all the time,there's a spinning wheel all the time
software_issue,slow_performance ,It's become sluggish and unresponsive,it's become sluggish and unresponsive
software_issue,slow_performance ,The computer can't keep up with my typing,the computer can't keep up with my typing
software_issue,slow_performance ,Simple tasks are taking an unusually long time,simple tasks are taking an unusually long time
software_issue,email_sync_issue ,My emails aren't showing up on my phone,my emails aren't showing up on my phone
software_issue,email_sync_issue ,I sent an email but the recipient didn't get it,i sent an email but the recipient didn't get it
software_issue,email_sync_issue ,I'm not receiving any new emails,i'm not receiving any new emails
software_issue,email_sync_issue ,My inbox isn't updating,my inbox isn't updating
software_issue,email_sync_issue ,Emails I delete on my computer are still on my phone,emails i delete on my computer are still on my phone
software_issue,email_sync_issue ,The sent folder is empty on one of my devices,the sent folder is empty on one of my devices
software_issue,email_sync_issue ,I keep getting a 'sync error' message,i keep getting a 'sync error' message
software_issue,email_sync_issue ,My read/unread status isn't syncing across devices,my read/unread status isn't syncing across devices
software_issue,email_sync_issue ,My Outlook keeps asking for my password,my outlook keeps asking for my password
software_issue,email_sync_issue ,My email is stuck on 'loading' or 'syncing',my email is stuck on 'loading' or 'syncing'
software_issue,email_sync_issue ,Old emails are missing from my inbox,old emails are missing from my inbox
software_issue,email_sync_issue ,I'm not getting notifications for new emails,i'm not getting notifications for new emails
software_issue,email_sync_issue ,My folders aren't syncing properly,my folders aren't syncing properly
software_issue,email_sync_issue ,There's a delay when I send or receive emails,there's a delay when i send or receive emails
software_issue,email_sync_issue ,My calendar isn't syncing with my email,my calendar isn't syncing with my email
software_issue,no_internet_access,I have no internet connection,i have no internet connection
software_issue,no_internet_access,The Wi-Fi is down,the wi-fi is down
software_issue,no_internet_access,It says I'm connected but there's no internet,it says i'm connected but there's no internet
software_issue,no_internet_access,I can't get online,i can't get online
software_issue,no_internet_access,My internet isn't working,my internet isn't working
software_issue,no_internet_access,The network is connected but I can't load anything,the network is connected but i can't load anything
software_issue,no_internet_access,"It says 'No Internet, Secured'","it says 'no internet, secured'"
software_issue,no_internet_access,Web pages won't load,web pages won't load
software_issue,no_internet_access,I have a red X over my network icon,i have a red x over my network icon
software_issue,no_internet_access,I'm connected to the Wi-Fi but it says no internet access,i'm connected to the wi-fi but it says no internet access
software_issue,no_internet_access,The internet is really slow and then it cuts out,the internet is really slow and then it cuts out
software_issue,no_internet_access,I keep getting disconnected from the network,i keep getting disconnected from the network
software_issue,no_internet_access,My computer won't connect to the Wi-Fi at all,my computer won't connect to the wi-fi at all
software_issue,no_internet_access,It says 'DNS_PROBE_FINISHED_NO_INTERNET',it says 'dns_probe_finished_no_internet'
software_issue,no_internet_access,The Ethernet cable is plugged in but I have no connection,the ethernet cable is plugged in but i have no connection
software_issue,printer_driver_error ,It says I'm missing a printer driver,it says i'm missing a printer driver
software_issue,printer_driver_error ,The printer is showing as 'offline',the printer is showing as 'offline'
software_issue,printer_driver_error ,I get an error about an 'unidentified printer',i get an error about an 'unidentified printer'
software_issue,printer_driver_error ,My print comes out as garbled text or symbols,my print comes out as garbled text or symbols
software_issue,printer_driver_error ,It says the driver is unavailable,it says the driver is unavailable
software_issue,printer_driver_error ,Windows can't find the printer driver,windows can't find the printer driver
software_issue,printer_driver_error ,I get a 'driver is unavailable' message,i get a 'driver is unavailable' message
software_issue,printer_driver_error ,The print job fails with a driver error,the print job fails with a driver error
software_issue,printer_driver_error ,My printer isn't recognized after an update,my printer isn't recognized after an update
software_issue,printer_driver_error ,I get a 'print processor does not exist' error,i get a 'print processor does not exist' error
software_issue,printer_driver_error ,It says the driver is corrupted,it says the driver is corrupted
software_issue,printer_driver_error ,I can see the printer but can't print to it,i can see the printer but can't print to it
software_issue,printer_driver_error ,The printer driver needs to be updated,the printer driver needs to be updated
software_issue,printer_driver_error ,I get an 'access denied' error when printing,i get an 'access denied' error when printing
software_issue,printer_driver_error ,The print spooler keeps stopping,the print spooler keeps stopping
software_issue,vpn_connection_failed ,I can't connect to the VPN,i can't connect to the vpn
software_issue,vpn_connection_failed ,My VPN keeps failing to connect,my vpn keeps failing to connect
software_issue,vpn_connection_failed ,It says 'authentication failed' for the VPN,it says 'authentication failed' for the vpn
software_issue,vpn_connection_failed ,I get a 'connection timed out' error for the VPN,i get a 'connection timed out' error for the vpn
software_issue,vpn_connection_failed ,The VPN gets stuck on 'connecting',the vpn gets stuck on 'connecting'
software_issue,vpn_connection_failed ,My VPN credentials aren't working,my vpn credentials aren't working
software_issue,vpn_connection_failed ,It says 'no internet access' when connected to the VPN,it says 'no internet access' when connected to the vpn
software_issue,vpn_connection_failed ,I can connect to the VPN but can't access internal sites,i can connect to the vpn but can't access internal sites
software_issue,vpn_connection_failed ,The VPN client says 'server not found',the vpn client says 'server not found'
software_issue,vpn_connection_failed ,I get an error about a 'bad username or password' for the VPN,i get an error about a 'bad username or password' for the vpn
software_issue,vpn_connection_failed ,My VPN connection drops randomly,my vpn connection drops randomly
software_issue,vpn_connection_failed ,It says I need to update my VPN client,it says i need to update my vpn client
software_issue,vpn_connection_failed ,The VPN won't start or launch properly,the vpn won't start or launch properly
software_issue,vpn_connection_failed ,I get a 'remote gateway is not responding' error,i get a 'remote gateway is not responding' error
software_issue,vpn_connection_failed ,My computer says the VPN adapter is missing,my computer says the vpn adapter is missing
software_issue,software_not_responding ,The program is frozen,the program is frozen
software_issue,software_not_responding ,It says '(Not Responding)' in the title bar,it says ' not responding ' in the title bar
software_issue,software_not_responding ,I can't click on anything in the software,i can't click on anything in the software
software_issue,software_not_responding ,The window is greyed out,the window is greyed out
software_issue,software_not_responding ,My cursor is a spinning wheel over the program,my cursor is a spinning wheel over the program
software_issue,software_not_responding ,The application is hung,the application is hung
software_issue,software_not_responding ,It's stuck and I can't close it,it's stuck and i can't close it
software_issue,software_not_responding ,I get the 'spinning beach ball' and can't do anything,i get the 'spinning beach ball' and can't do anything
software_issue,software_not_responding ,The software has locked up,the software has locked up
software_issue,software_not_responding ,I can't type or select anything in the window,i can't type or select anything in the window
software_issue,software_not_responding ,It freezes every time I try to use a specific feature,it freezes every time i try to use a specific feature
software_issue,software_not_responding ,The program is open but the screen is white/blank,the program is open but the screen is white/blank
software_issue,software_not_responding ,It becomes completely unresponsive after a few minutes,it becomes completely unresponsive after a few minutes
software_issue,software_not_responding ,I have to use Task Manager to force it to close,i have to use task manager to force it to close
software_issue,software_not_responding ,It freezes my entire computer until it closes,it freezes my entire computer until it closes
software_issue,forgotten_password ,What's the default password?,what's the default password?
software_issue,forgotten_password ,I think I forgot my new password,i think i forgot my new password
software_issue,forgotten_password ,"It's not accepting my password, I must have forgotten it","it's not accepting my password, i must have forgotten it"
software_issue,forgotten_password ,I haven't logged in for a while and forgot my password,i haven't logged in for a while and forgot my password
software_issue,forgotten_password ,Can you send me a password reset link?,can you send me a password reset link?
software_issue,forgotten_password ,I don't know what my password is for this system,i don't know what my password is for this system
software_issue,forgotten_password ,I forgot my password after the vacation,i forgot my password after the vacation
software_issue,forgotten_password ,"The system isn't recognizing my password, maybe I forgot it","the system isn't recognizing my password, maybe i forgot it"
software_issue,forgotten_password ,I need help recovering my account password,i need help recovering my account password
software_issue,forgotten_password ,I can't get into my email because I forgot the password,i can't get into my email because i forgot the password
software_issue,forgotten_password ,I forgot the password I changed last week,i forgot the password i changed last week
software_issue,file_corruption ,I get an error when I try to open the file,i get an error when i try to open the file
software_issue,file_corruption ,The file is corrupted and cannot be opened,the file is corrupted and cannot be opened
software_issue,file_corruption ,It says the file is damaged,it says the file is damaged
software_issue,file_corruption ,The document shows as blank or unreadable,the document shows as blank or unreadable
software_issue,file_corruption ,I get a 'file format is invalid' message,i get a 'file format is invalid' message
software_issue,file_corruption ,The file won't open and says it's an unsupported format,the file won't open and says it's an unsupported format
software_issue,file_corruption ,Excel says it found unreadable content,excel says it found unreadable content
software_issue,file_corruption ,Word says the file is corrupt and cannot be opened,word says the file is corrupt and cannot be opened
software_issue,file_corruption ,The image file is broken and won't display,the image file is broken and won't display
software_issue,file_corruption ,The video file is glitchy and won't play properly,the video file is glitchy and won't play properly
software_issue,file_corruption ,My presentation won't open after I saved it,my presentation won't open after i saved it
software_issue,file_corruption ,The archive is damaged and cannot be extracted,the archive is damaged and cannot be extracted
software_issue,file_corruption ,The file size shows as zero bytes,the file size shows as zero bytes
software_issue,file_corruption ,The database is corrupted and won't load,the database is corrupted and won't load
software_issue,file_corruption ,The system says the file path is invalid or corrupted,the system says the file path is invalid or corrupted
software_issue,operating_system_update_error ,My computer is stuck on the update screen,my computer is stuck on the update screen
software_issue,operating_system_update_error ,The update keeps failing to install,the update keeps failing to install
